добавка,pmid,название,год
Гинкго,41678913,Comparative effects of Bacopa monnieri and Ginkgo biloba on cognitive functions: A systematic review and network meta-analysis.,2026
Гинкго,41641880,Ginkgo biloba for cognitive impairment and dementia.,2026
Гинкго,41198594,Therapeutic strategies in vascular cognitive impairment: A systematic review and meta-analysis.,2025
Гинкго,40083108,Systematic Review and Network Meta-Analysis of the Effects of Plant Extracts on Cognitive Function and Quality of Life in Stroke Patients.,2025
Гинкго,39895346,Ginkgo biloba extract EGb 761 is safe and effective in the treatment of mild dementia - a meta-analysis of patient subgroups in randomised controlled ,2025
Гинкго,39880062,Ginkgo diterpene lactone meglumine for functional recovery in patients with acute ischemic stroke: A systematic review and meta-analysis.,2025
Гинкго,39312316,Effect of long-term pharmacological treatments on Alzheimer disease: A systematic review and network meta-analysis.,2024
Гинкго,38547138,Safety and efficacy of antioxidant therapy in children and adolescents with attention deficit hyperactivity disorder: A systematic review and network ,2024
Гинкго,38097097,Clinical effectiveness of pharmacological and non-pharmacological treatments for the management of anxiety in community dwelling people living with de,2024
Гинкго,35333451,Dietary Flavonoids and Human Cognition: A Meta-Analysis.,2022
Гинкго,35159288,Can We Use Ginkgo biloba Extract to Treat Alzheimer's Disease? Lessons from Preclinical and Clinical Studies.,2022
Гинкго,34951189,[Systematic review of efficacy and safety of Ginkgo biloba extract 50 in treatment of ischemic stroke].,2021
Гинкго,34924395,The Efficacy and Safety of Alzheimer's Disease Therapies: An Updated Umbrella Review.,2022
Гинкго,34758521,[The preventive effect of four drugs on acute mountain sickness: a Bayesian network meta-analysis].,2021
Гинкго,34504643,EGb in the Treatment for Patients with VCI: A Systematic Review and Meta-Analysis.,2021
Гинкго,32658034,Meta-analysis of Ginkgo biloba Preparation for the Treatment of Alzheimer's Disease.,2020
Гинкго,32349519,Efficacy and Safety of Ginkgo biloba in Patients with Acute Ischemic Stroke: A Systematic Review and Meta-Analysis.,2020
Гинкго,30937879,"Ginkgo biloba Extract (EGb761), Cholinesterase Inhibitors, and Memantine for the Treatment of Mild-to-Moderate Alzheimer's Disease: A Network Meta-Ana",2019
Гинкго,29502274,The treatment of cognitive dysfunction in dementia: a multiple treatments meta-analysis.,2018
Гинкго,28931444,Treatment effects of Ginkgo biloba extract EGb 761® on the spectrum of behavioral and psychological symptoms of dementia: meta-analysis of randomized ,2018
Гинкго,27899689,Herbal medicine for management of the behavioural and psychological symptoms of dementia (BPSD): A systematic review and meta-analysis.,2017
Гинкго,26979525,Extract of Ginkgo biloba for Tardive Dyskinesia: Meta-analysis of Randomized Controlled Trials.,2016
Гинкго,26848926,Antioxidant treatments for schizophrenia.,2016
Гинкго,26601726,Drug and Exercise Treatment of Alzheimer Disease and Mild Cognitive Impairment: A Systematic Review and Meta-Analysis of Effects on Cognition in Rando,2015
Гинкго,26361790,Individually modifiable risk factors to ameliorate cognitive aging: a systematic review and meta-analysis.,2015
Гинкго,26268332,Ginkgo Biloba for Mild Cognitive Impairment and Alzheimer's Disease: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,2016
Гинкго,26223956,Efficacy of Ginkgo biloba extract EGb 761(®) in dementia with behavioural and psychological symptoms: A systematic review.,2016
Гинкго,25506211,Efficacy and tolerability of Ginkgo biloba extract EGb 761® in dementia: a systematic review and meta-analysis of randomized placebo-controlled trials,2014
Гинкго,25121994,Non-glutamatergic clozapine augmentation strategies: a review and meta-analysis.,2014
Гинкго,25114079,Efficacy and adverse effects of ginkgo biloba for cognitive impairment and dementia: a systematic review and meta-analysis.,2015
Гинкго,24871648,A systematic review on natural medicines for the prevention and treatment of Alzheimer's disease with meta-analyses of intervention effect of ginkgo.,2014
Гинкго,24663230,Summary of evidence-based guideline: complementary and alternative medicine in multiple sclerosis: report of the guideline development subcommittee of,2014
Гинкго,23292640,Ginkgo biloba extract EGb 761 in the treatment of dementia: a pharmacoeconomic analysis of the Austrian setting.,2013
Гинкго,23001963,Is Ginkgo biloba a cognitive enhancer in healthy individuals? A meta-analysis.,2012
Гинкго,21975787,Pharmacologic treatment for memory disorder in multiple sclerosis.,2011
Гинкго,20236541,Effects of Ginkgo biloba in dementia: systematic review and meta-analysis.,2010
Гинкго,20104449,Effectiveness of standardized ginkgo biloba extract on cognitive symptoms of dementia with a six-month treatment: a bivariate random effect meta-analy,2010
Гинкго,19621278,[Ginkgo biloba extract EGb 761 in the treatment of dementia: evidence of efficacy and tolerability].,2009
Гинкго,19160216,Ginkgo biloba for cognitive impairment and dementia.,2009
Гинкго,19086008,Herbal medicine for dementia: a systematic review.,2009
Гинкго,18716893,Chinese herbal medicine for Mild Cognitive Impairment and Age Associated Memory Impairment: a review of randomised controlled trials.,2009
Гинкго,17443523,Ginkgo biloba for cognitive impairment and dementia.,2007
Гинкго,15237280,Ginkgo biloba compared with cholinesterase inhibitors in the treatment of dementia: a review based on meta-analyses by the cochrane collaboration.,2004
Гинкго,12519586,Ginkgo biloba for cognitive impairment and dementia.,2002
Гинкго,11789125,[A comparison of cholinesterase inhibitors and ginkgo extract in treatment of Alzheimer dementia].,2001
Гинкго,11777363,"The risk-benefit profile of commonly used herbal therapies: Ginkgo, St. John's Wort, Ginseng, Echinacea, Saw Palmetto, and Kava.",2002
Гинкго,10755847,Cholinesterase inhibitors and Gingko extracts--are they comparable in the treatment of dementia? Comparison of published placebo-controlled efficacy s,2000
Родиола,40014460,Efficacy of Pharmacological Interventions in Milder Depression: A Systematic Review and Meta-Analysis.,2025
Родиола,37934032,Neuroprotective Mechanisms of Salidroside in Alzheimer's Disease: A Systematic Review and Meta-analysis of Preclinical Studies.,2023
Родиола,34758521,[The preventive effect of four drugs on acute mountain sickness: a Bayesian network meta-analysis].,2021
Родиола,34445021,Plant Adaptogens-History and Future Perspectives.,2021
Ашваганда,39026098,"Nutraceuticals and phytoceuticals in the treatment of schizophrenia: a systematic review and network meta-analysis ""Nutra NMA SCZ"".",2025
Ашваганда,36017529,Does Ashwagandha supplementation have a beneficial effect on the management of anxiety and stress? A systematic review and meta-analysis of randomized,2022
Фосфатидилсерин,38547138,Safety and efficacy of antioxidant therapy in children and adolescents with attention deficit hyperactivity disorder: A systematic review and network ,2024
Фосфатидилсерин,33539192,Phosphatidylserine for the Treatment of Pediatric Attention-Deficit/Hyperactivity Disorder: A Systematic Review and Meta-Analysis.,2021
Alpha-GPC,41362980,[Gliatilin in the Treatment of Cognitive Impairments Not Reaching the Level of Dementia: Meta-Analysis and Systematic Review].,2025
Alpha-GPC,36683513,Activity of Choline Alphoscerate on Adult-Onset Cognitive Dysfunctions: A Systematic Review and Meta-Analysis.,2023
CDP-холин,42635820,Pharmacological interventions targeting cognition and related clinical outcomes in vascular dementia: a systematic review and meta-analysis of randomi,2026
CDP-холин,39026098,"Nutraceuticals and phytoceuticals in the treatment of schizophrenia: a systematic review and network meta-analysis ""Nutra NMA SCZ"".",2025
CDP-холин,36678257,Is Citicoline Effective in Preventing and Slowing Down Dementia?-A Systematic Review and a Meta-Analysis.,2023
CDP-холин,28458415,Is aura around citicoline fading? A systemic review.,2017
CDP-холин,27539610,A meta-analysis of the effect of different neuroprotective drugs in management of patients with traumatic brain injury.,2018
CDP-холин,26967259,Interventions for preventing delirium in hospitalised non-ICU patients.,2016
CDP-холин,15846601,Cytidinediphosphocholine (CDP-choline) for cognitive and behavioural disturbances associated with chronic cerebral disorders in the elderly.,2005
CDP-холин,15106147,Cytidinediphosphocholine (CDP choline) for cognitive and behavioural disturbances associated with chronic cerebral disorders in the elderly.,2004
Гуперзин А,34924395,The Efficacy and Safety of Alzheimer's Disease Therapies: An Updated Umbrella Review.,2022
Гуперзин А,31277107,The effect of anti-dementia drugs on Alzheimer disease-induced cognitive impairment: A network meta-analysis.,2019
Гуперзин А,30989926,[Efficacy and safety of huperzine A in treating patients with mild cognitive impairment: a systematic review and Meta-analysis].,2019
Гуперзин А,29502274,The treatment of cognitive dysfunction in dementia: a multiple treatments meta-analysis.,2018
Гуперзин А,27302211,Adjunctive huperzine A for cognitive deficits in schizophrenia: a systematic review and meta-analysis.,2016
Гуперзин А,24086396,Huperzine A for Alzheimer's disease: a systematic review and meta-analysis of randomized clinical trials.,2013
Гуперзин А,19221692,Efficacy and safety of natural acetylcholinesterase inhibitor huperzine A in the treatment of Alzheimer's disease: an updated meta-analysis.,2009
Гуперзин А,18425924,Huperzine A for Alzheimer's disease.,2008
Куркумин,42154264,Efficacy and safety of Nrf2 activators for schizophrenia: a systematic review and meta-analysis.,2026
Куркумин,40813857,The effect of turmeric/curcumin supplementation on anthropometric indices in subjects with prediabetes and type 2 diabetes mellitus: A GRADE-assessed ,2025
Куркумин,40579315,Targeting cognitive aging with curcumin supplementation: A systematic review and meta-analysis.,2025
Куркумин,40252824,The effect of highly bioavailable forms of curcumin on lipoprotein(a) plasma levels: A systematic review and meta-analysis of randomized clinical stud,2025
Куркумин,38265680,Therapeutic potential of curcumin on the cognitive decline in animal models of Alzheimer's disease: a systematic review and meta-analysis.,2024
Куркумин,37408367,The effect of curcumin supplementation on functional strength outcomes and markers of exercise-induced muscle damage: A systematic review and meta-ana,2024
Куркумин,36974529,Impact of Curcumin Supplementation on Radiation Dermatitis Severity: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,2023
Куркумин,34121673,Turmeric in the management of oral submucous fibrosis: A systematic review and meta-analysis.,2021
Куркумин,31279955,Short-term curcumin supplementation enhances serum brain-derived neurotrophic factor in adult men and women: a systematic review and dose-response met,2019
Куркумин,30575152,Curcumin intervention for cognitive function in different types of people: A systematic review and meta-analysis.,2019
Куркумин,28928074,Curcumin or combined curcuminoids are effective in lowering the fasting blood glucose concentrations of individuals with dysglycemia: Systematic revie,2018
Куркумин,27072233,Research on curcumin: A meta-analysis of potentially malignant disorders.,2016
Ресвератрол,42154264,Efficacy and safety of Nrf2 activators for schizophrenia: a systematic review and meta-analysis.,2026
Ресвератрол,41987155,Effects of resveratrol supplementation on multiple health outcomes: an umbrella review of systematic reviews and meta-analyses of randomized controlle,2026
Ресвератрол,40083108,Systematic Review and Network Meta-Analysis of the Effects of Plant Extracts on Cognitive Function and Quality of Life in Stroke Patients.,2025
Ресвератрол,38547138,Safety and efficacy of antioxidant therapy in children and adolescents with attention deficit hyperactivity disorder: A systematic review and network ,2024
Ресвератрол,37522434,[Effect of resveratrol on cognitive functions in older adults: a systematic review and meta-analysis].,2023
Ресвератрол,37068620,Therapeutic advances for treating memory impairments in perinatal brain injuries with implications for cerebral palsy: a systematic review and meta-an,2023
Ресвератрол,33303422,"Resveratrol: A ""miracle"" drug in neuropsychiatry or a cognitive enhancer for mice only? A systematic review and meta-analysis.",2021
Ресвератрол,29596658,Effect of resveratrol supplementation on cognitive performance and mood in adults: a systematic literature review and meta-analysis of randomized cont,2018
Ресвератрол,28844841,Effect of resveratrol on cognitive and memory performance and mood: A meta-analysis of 225 patients.,2018
NAC,41812482,The efficacy of psychotherapeutic and pharmacological interventions for trichotillomania: A review and meta-analysis.,2026
NAC,41025421,Pharmacotherapies for cannabis use disorder.,2025
NAC,40945815,Augmentation with glutamatergic modulators for schizophrenia: A network meta-analysis.,2025
NAC,39026098,"Nutraceuticals and phytoceuticals in the treatment of schizophrenia: a systematic review and network meta-analysis ""Nutra NMA SCZ"".",2025
NAC,36170201,Antipsychotic Augmentation With N-Acetylcysteine for Patients With Schizophrenia.,2022
NAC,34736541,Glutamatergic medications as adjunctive therapy for moderate to severe obsessive-compulsive disorder in adults: a systematic review and meta-analysis.,2021
NAC,31826654,Meta-analysis of randomised controlled trials with N-acetylcysteine in the treatment of schizophrenia.,2020
NAC,30864461,Adjunctive use of anti-inflammatory drugs for schizophrenia: A meta-analytic investigation of randomized controlled trials.,2019
NAC,26848926,Antioxidant treatments for schizophrenia.,2016
NAC,26395901,Ketamine and other glutamate receptor modulators for depression in adults.,2015
NAC,18608090,A systematic review of antioxidant treatment for amyotrophic lateral sclerosis/motor neuron disease.,2008
NAC,17253482,Antioxidant treatment for amyotrophic lateral sclerosis / motor neuron disease.,2007
NAC,15674899,Antioxidant treatment for amyotrophic lateral sclerosis / motor neuron disease.,2005
NAC,15495036,Antioxidant treatment for amyotrophic lateral sclerosis / motor neuron disease.,2004
Цинк,42280439,"Essential Trace Elements Zinc, Iron, Copper and Attention-Deficit/Hyperactivity Disorder in Children and Adolescents: A Systematic Review and Meta-Ana",2026
Цинк,42123986,The Effects of Carnosine on Cognitive Function and Mental Health-A Systematic Review and Meta-Analysis.,2026
Цинк,41457895,Educational-Setting Feeding Interventions and Health Outcomes: A Systematic Review and Meta-Analysis.,2026
Цинк,40929917,Association between metal(loid)s in different biospecimens and dementia: A systematic review and meta-analysis.,2025
Цинк,40435711,A systematic review and meta-analysis examining the role of zinc supplementation in ameliorating physical and psychological manifestations of premenst,2025
Цинк,39449037,Enteral micronutrient supplementation and neurodevelopmental outcomes in preterm or low birth weight infants: A systematic review and meta-analysis.,2025
Цинк,38621536,Unveiling key mechanisms: Transcriptomic meta-analysis of diverse nanomaterial applications addressing biotic and abiotic stresses in Arabidopsis Thal,2024
Цинк,38547138,Safety and efficacy of antioxidant therapy in children and adolescents with attention deficit hyperactivity disorder: A systematic review and network ,2024
Цинк,37891210,Association between Cu/Zn/Iron/Ca/Mg levels and cerebral palsy: a pooled-analysis.,2023
Цинк,37872256,Change in Mineral Status After Bariatric Surgery: a Meta-analysis.,2023
Цинк,36464120,Trace elements and Alzheimer dementia in population-based studies: A bibliometric and meta-analysis.,2023
Цинк,36259267,"Systematic analysis to identify novel disease indications and plausible potential chemical leads of glutamate ionotropic receptor NMDA type subunit 1,",2023
Цинк,35795146,Genetically Predicted Milk Intake Increased Femoral Neck Bone Mineral Density in Women But Not in Men.,2022
Цинк,35691994,"A Meta-analysis of Responses of Broiler Chickens to Dietary Zinc Supplementation: Feed Intake, Feed Conversion Ratio and Average Daily Gain.",2023
Цинк,35056365,Effects of Physical Activity and Micronutrients on Cognitive Performance in Children Aged 6 to 11 Years: A Systematic Review and Meta-Analysis of Rand,2021
Цинк,34272450,Zinc status in attention-deficit/hyperactivity disorder: a systematic review and meta-analysis of observational studies.,2021
Цинк,34184967,The effect of zinc supplementation in children with attention deficit hyperactivity disorder: A systematic review and dose-response meta‑analysis of r,2022
Цинк,34167148,"Effects of Foods Fortified with Zinc, Alone or Cofortified with Multiple Micronutrients, on Health and Functional Outcomes: A Systematic Review and Me",2021
Цинк,33831797,The effect of zinc supplementation on brain derived neurotrophic factor: A meta-analysis.,2021
Цинк,35819457,Educational interventions for preventing lead poisoning in workers.,2020
Цинк,32266964,Zinc supplementation for the promotion of growth and prevention of infections in infants less than six months of age.,2020
Цинк,32138778,Meta-analysis of human prefrontal cortex reveals activation of GFAP and decline of synaptic transmission in the aging brain.,2020
Цинк,32006369,Food Color and Autism: A Meta-Analysis.,2020
Цинк,31849042,Food fortification with multiple micronutrients: impact on health outcomes in general population.,2019
Цинк,31704595,Blood and hair zinc levels in children with attention deficit hyperactivity disorder: A meta-analysis.,2020
Цинк,31442958,Common trace metals in rheumatoid arthritis: A systematic review and meta-analysis.,2019
Цинк,30779870,Effectiveness of provision of animal-source foods for supporting optimal growth and development in children 6 to 59 months of age.,2019
Цинк,30556597,Vitamin and mineral supplementation for maintaining cognitive function in cognitively healthy people in mid and late life.,2018
Цинк,30239557,"Dietary Antioxidants, Circulating Antioxidant Concentrations, Total Antioxidant Capacity, and Risk of All-Cause Mortality: A Systematic Review and Dos",2018
Цинк,27281654,Fortification of staple foods with zinc for improving zinc status and other health outcomes in the general population.,2016
Цинк,27087396,"Daily iron supplementation for improving anaemia, iron status and health in menstruating women.",2016
Цинк,26887903,Supplementation with multiple micronutrients for breastfeeding women for improving outcomes for the mother and baby.,2016
Цинк,26607403,A meta-analysis of nutrition interventions on mental development of children under-two in low- and middle-income countries.,2017
Цинк,26412183,[Relationship between serum zinc levels and attention deficit hyperactivity disorder in children].,2015
Цинк,26401693,"Serum Iron, Zinc, and Copper Levels in Patients with Alzheimer's Disease: A Replication Study and Meta-Analyses.",2015
Цинк,25920424,"Zinc intake, status and indices of cognitive function in adults and children: a systematic review and meta-analysis.",2015
Цинк,25667193,Association between variants of zinc finger genes and psychiatric disorders: systematic review and meta-analysis.,2015
Цинк,25156147,A meta-analysis of pica and micronutrient status.,2015
Цинк,24144963,Plasma nutrient status of patients with Alzheimer's disease: Systematic review and meta-analysis.,2014
Цинк,25008010,Effect of zinc intake on mental and motor development in infants: a meta-analysis.,2013
Цинк,23235652,Zinc supplementation for mental and motor development in children.,2012
Цинк,23021477,Biomarkers and attention-deficit/hyperactivity disorder: a systematic review and meta-analyses.,2012
Цинк,21525192,The role of meta-analysis in the evaluation of the effects of early nutrition on mental and motor development in children.,2011
Цинк,19056559,Effects of micronutrients on growth of children under 5 y of age: meta-analyses of single and multiple nutrient interventions.,2009
Цинк,11509101,Effect of micronutrient supplementation on linear growth of children.,2001
Тирозин,41933896,Levodopa-Based Therapy in Stroke Rehabilitation: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,2026
Тирозин,40319023,"Rare genetic variation in PTPRB is associated with central serous chorioretinopathy, varicose veins and glaucoma.",2025
Тирозин,40048815,The impact of the solute carrier gene superfamily polymorphisms on tyrosine kinase inhibitors responses among chronic myeloid leukemia: A meta-analysi,2025
Тирозин,39666634,HER2-low prevalence among Hispanic/Latino women with breast cancer: A systematic review and meta-analysis.,2024
Тирозин,39169295,CDK4/6 inhibitors plus endocrine therapy vs. placebo plus endocrine therapy for HR+/HER2- advanced breast cancer: a phase III RCTs based meta-analysis,2024
Тирозин,39159630,Efficacy and safety of immune checkpoint inhibitors for individuals with advanced EGFR-mutated non-small-cell lung cancer who progressed on EGFR tyros,2024
Тирозин,38364914,Lithium and disease modification: A systematic review and meta-analysis in Alzheimer's and Parkinson's disease.,2024
Тирозин,38290812,The effect of tyrosine supplementation on whole-body endurance performance in physically active population: A systematic review and meta-analysis incl,2023
Тирозин,37848479,Impaired cognitive and motor function are coincident with L-DOPA-induced dyskinesia in a model of Parkinson's disease.,2023
Тирозин,37597303,Comparative safety of anaplastic lymphoma kinase tyrosine kinase inhibitors in advanced anaplastic lymphoma kinase-mutated non-small cell lung cancer:,2023
Тирозин,36803384,Risks of cardiovascular toxicities associated with ALK tyrosine kinase inhibitors in patients with non-small-cell lung cancer: a meta-analysis of rand,2023
Тирозин,36738813,Cognition and freezing of gait in Parkinson's disease: A systematic review and meta-analysis.,2023
Тирозин,36721897,A meta-analysis of the efficacy and toxicity of tyrosine kinase inhibitors in treating patients with different types of thyroid cancer: how to choose ,2023
Тирозин,36695110,Hypertransaminasemia in metastatic renal cell carcinoma patients receiving immune-based combinations: a meta-analysis.,2023
Тирозин,36617752,Effects of Oral Levodopa on Balance in People with Idiopathic Parkinson's Disease.,2023
Тирозин,36155529,Short and Long-Term Cognitive Effects of Subthalamic Deep Brain Stimulation in Parkinson's Disease and Identification of Relevant Factors.,2022
Тирозин,36111954,Interstitial lung disease associated with anti-HER2 anti-body drug conjugates: results from clinical trials and the WHO's pharmacovigilance database.,2022
Тирозин,35912752,The Role of Microelectrode Recording in Deep Brain Stimulation Surgery for Parkinson's Disease: A Systematic Review and Meta-Analysis.,2022
Тирозин,34237967,Oral adverse effects of CDK4/6 inhibitors among breast cancer patients: a systematic review and meta-analysis.,2021
Тирозин,33797786,Translating Evidence to Advanced Parkinson's Disease Patients: A Systematic Review and Meta-Analysis.,2021
Тирозин,33742354,Antisaccades in Parkinson's Disease: A Meta-Analysis.,2021
Тирозин,33531474,Genome-wide association study of pediatric obsessive-compulsive traits: shared genetic risk between traits and disorder.,2021
Тирозин,33285715,Prognostic value of programmed cell death ligand-1 expression in breast cancer: A meta-analysis.,2020
Тирозин,31991178,"Exercise effects on brain and behavior in healthy mice, Alzheimer's disease and Parkinson's disease model-A systematic review and meta-analysis.",2020
Тирозин,31982903,The potential role of nutritional components in improving brain function among patients with Alzheimers disease: a meta-analysis of RCT studies.,2020
Тирозин,31855061,Comparative Toxicities of Neoadjuvant Chemotherapy With or Without Bevacizumab in HER2-Negative Breast Cancer Patients: A Meta-analysis.,2020
Тирозин,31499732,A meta-analysis of the comparing of the first-generation and next-generation TKIs in the treatment of NSCLC.,2019
Тирозин,30818990,Interrogating the Genetic Determinants of Tourette's Syndrome and Other Tic Disorders Through Genome-Wide Association Studies.,2019
Тирозин,30227250,Prognostic value of circulating cell-free DNA in patients with pancreatic cancer: A systemic review and meta-analysis.,2018
Тирозин,28477027,Efficacy and safety of different molecular targeted agents based on chemotherapy for gastric cancer patients treatment: a network meta-analysis.,2017
Тирозин,28077804,The complex genetics of gait speed: genome-wide meta-analysis approach.,2017
Тирозин,27978869,[Intercalated Combination of Chemotherapy and EGFR-TKIs versus Chemotherapy Alone in the First-line Treatment of Advanced Non-small Cell Lung Cancer: ,2016
Тирозин,27840145,"Association of plasma homocysteine, vitamin B12 and folate levels with cognitive function in Parkinson's disease: A meta-analysis.",2017
Тирозин,27080426,Common variant in PTK2B is associated with late-onset Alzheimer's disease: A replication study and meta-analyses.,2016
Тирозин,26654242,Identification of novel HIV-1 dependency factors in primary CCR4(+)CCR6(+)Th17 cells via a genome-wide transcriptional approach.,2015
Тирозин,25429064,Meta-analysis of genome-wide association studies of adult height in East Asians identifies 17 novel loci.,2015
Тирозин,23184080,Assessing interactions between the associations of fibroblast growth factor receptor 2 common genetic variants and hormone receptor status with breast,2013
Тирозин,22544573,PTPN22 C1858T and the risk of psoriasis: a meta-analysis.,2012
Тирозин,16842141,Hyperhomocysteinemia in movement disorders: Current evidence and hypotheses.,2006
Таурин,41803812,Taurine supplementation as a therapeutic strategy for cellular senescence and chronic inflammation in long COVID: a systematic review and meta-analysi,2026
Таурин,41032459,"Caffeine and taurine: a systematic review and network meta-analysis of their individual and combined effects on physical capacity, cognitive function,",2025
Таурин,40320621,Effects of taurine supplementation on cognitive function: a systematic review and meta-analysis of randomised controlled trials.,2025
Таурин,37158538,Psychosocial and pharmacologic interventions to reduce harmful alcohol use in low- and middle-income countries.,2023
Таурин,30484285,Baclofen for alcohol use disorder.,2018
Таурин,28064151,"Supervised Disulfiram's Superior Effectiveness in Alcoholism Treatment: Ethical, Methodological, and Psychological Aspects.",2017
Таурин,17114950,Trends in the adoption of medications for alcohol dependence.,2006
CoQ10,38630421,Effect of Coenzyme Q10 Supplementation on Vascular Endothelial Function: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,2024
CoQ10,37557967,Reverse cholesterol transport and lipid peroxidation biomarkers in major depression and bipolar disorder: A systematic review and meta-analysis.,2023
CoQ10,26852373,Nutraceuticals with a clinically detectable blood pressure-lowering effect: a review of available randomized clinical trials and their meta-analyses.,2017
Пикногенол,38547138,Safety and efficacy of antioxidant therapy in children and adolescents with attention deficit hyperactivity disorder: A systematic review and network ,2024
Пикногенол,33460048,Immediate-release methylphenidate for attention deficit hyperactivity disorder (ADHD) in adults.,2021
Пикногенол,32990945,Pine bark (Pinus spp.) extract for treating chronic disorders.,2020
Пикногенол,22336841,Pycnogenol(®) for the treatment of chronic disorders.,2012
Пикногенол,16034893,Phlebotonics for venous insufficiency.,2005
Готу кола,28878245,Effects of Centella asiatica (L.) Urb. on cognitive function and mood related outcomes: A Systematic Review and Meta-analysis.,2017
Готу кола,16034893,Phlebotonics for venous insufficiency.,2005
